name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J020950-000506_v1	Sep_8_9_2004	KODIAQ	2.83	3151	5994 	2.231 	2.794 	82	48000	0	used 
J020950-000506_v2	Sep_24_25_2008	KODIAQ	2.83	3022	5897	2.231 	2.794 	0	48000	0	0	
J020950-000506_v3	Oct_3_4_5_2004	KODIAQ	2.83	4650	9219	2.231 	2.794 	0	48000	0	0
J155152+191104_v1	May_25_2009	KODIAQ	2.84	2995	5880	2.239 	2.804 	96	36000	0	used 
J155152+191104_v2	April_7_8_9_2007	KODIAQ	2.84	3102	5982	2.239 	2.804 	0	48000	0	0
J162548+264658_v1	May_31_Jun_1_2005	KODIAQ	2.52	3101	5983	1.969 	2.484 	43	36000	0	used
J162548+264658_v2	Sep_24_25_2008	KODIAQ	2.52	3022	5896	1.969 	2.484 	0	48000	0	0
J170100+641209_v1	May_31_Jun_1_2005	KODIAQ	2.73	3102	5985	2.147 	2.694 	70	36000	0	used	
J170100+641209_v2	July_2_3_2005	KODIAQ	2.73	3571	8125	2.147 	2.694 	0	72000	0	0
J170100+641209_v2(2)	July_2_3_2005	KODIAQ	2.73	3741	6786	2.147 	2.694 	0	72000	0	0
J170100+641209_v3	April_30_May_1_2005	KODIAQ	2.73	3129	5981	2.147 	2.694 	0	48000	0	0
J170100+641209_v4	Sep_24_25_2008	KODIAQ	2.73	3060	5896	2.147 	2.694	0	36000	0	0
J1442+2931	0	HIRES	2.660	0	0	2.088 	2.624 	117	0	1	reduced by hand, need to check spectrum and cont	
J010311+131617_v1	Oct_9_10_2005	KODIAQ	2.72	3123	5978	2.139 	2.684 	107	36000	1	used
J082107+310751_v1	April_7_8_9_2007	KODIAQ	2.63	3101	5981	2.063 	2.594 	44	48000	1	0
J082107+310751_v2	Sep_24_25_2008	KODIAQ	2.63	3058	5897	2.063 	2.594 	0	48000	1	0
J014516-094517A_v1	Oct_9_10_2005	KODIAQ	2.72	3102	5978	2.139 	2.684 	83	36000	1	used, lensed qso
J014516-094517B_v1	Oct_9_10_2005	KODIAQ	2.72	3102	5979	2.139 	2.684 	0	48000	0	lensed qso
J014516-094517A_v2	Sep_24_25_2008	KODIAQ	2.72	3022	5897	2.139 	2.684 	0	48000	1	lensed qso
J014516-094517B_v2	Sep_24_25_2008	KODIAQ	2.72	3022	5897	2.139 	2.684 	0	48000	0	lensed qso
J101155+294141_v1	May_31_Jun_1_2005	KODIAQ	2.65	3101	5983	2.079 	2.614 	63	36000	1	used
J101155+294141_v2	April_30_May_1_2005	KODIAQ	2.65	3101	5980	2.079 	2.614 	0	48000	1	0
J101155+294141_v3	Dec_6_7_2005	KODIAQ	2.65	3048	5896	2.079 	2.614 	0	36000	1	low norm level, too many bad pixels
J220852-194400_v1	Sep_24_25_2008	KODIAQ	2.57	3022	5896	2.012 	2.534 	76	36000	1	used, lost b-N sample
J082619+314848_v1	Dec_27_2006	KODIAQ	3.09	3842	8362	0	0	0	48000	1	used, more narrow z range used that is needed	
J122824+312837_v1	April_7_8_9_2007	KODIAQ	2.2	3101	5980	0	0	0	48000	0	0
J110610+640009_v1	April_7_8_9_2007	KODIAQ	2.2	3128	5981	0	0	0	48000	0	0	
J162645+642655_v1	April_30_May_1_2005	KODIAQ	2.32	3127	5981	0	0	0	48000	0	0
J162645+642655_v2	April_7_8_9_2007	KODIAQ	2.32	3127	5980	0	0	0	48000	0	0
J141906+592312_v1	April_10_11_2007	KODIAQ	2.32	3108	5966	0	0	0	48000	1	0
J005814+011530_v1	Dec_10_12_13_14_2009	KODIAQ	2.49	3368	6198	0	0	0	48000	1	0
J005814+011530_v2	Oct_6_2004	KODIAQ	2.49	3386	6250	0	0	0	48000	1	0
J121117+042222_v1	May_2_3_2005	KODIAQ	2.53	3403	6302	0	0	0	48000	1	0	
J101723-204658_v1	April_7_8_9_2007	KODIAQ	2.54	3128	5981	0	0	0	48000	0	0	
J234628+124859_v1	Jul_8_2008	KODIAQ	2.57	4476	7587	0	0	0	48000	0	0
J234628+124859_v2	Oct_9_10_2005	KODIAQ	2.57	3120	5978	0	0	0	48000	0	0
J234628+124859_v3	Sep_24_25_2008	KODIAQ	2.57	3022	5896	0	0	0	36000	0	0
J121930+494052_v1	May_7_2007	KODIAQ	2.63	3127	5980	0	0	0	48000	0	0	
J121930+494052_v2	May_25_2009	KODIAQ	2.63	3027	5880	0	0	0	36000	0	0	
J143500+535953_v1	May_2_3_2005	KODIAQ	2.63	3472	6379	0	0	0	48000	1	0	
J081240+320808_v1	April_10_11_2007	KODIAQ	2.71	3331	6190	0	0	0	48000	1	0
J012156+144823_v1	Sep_8_9_2004	KODIAQ	2.87	3244	6138	0	0	0	48000	0	0	
J143316+313126_v1	Apr_6_2006	KODIAQ	2.94	3245	6095	0	0	0	36000	0	0
J134544+262506_v1	Apr_14_2005	KODIAQ	2.03	3501	6386	0	0	0	36000	1	0	
J120917+113830_v1	Apr_6_2006	KODIAQ	3.1	3500	6400	0	0	0	36000	1	0	
J102009+104002_v1	Apr_6_2006	KODIAQ	3.17	3616	6524	0	0	0	36000	0	0	
J095852+120245_v1	Apr_7_2006	KODIAQ	3.3	5444	8564	0	0	0	48000	0	0
J095852+120245_v2	Jan_3_4_2006	KODIAQ	3.3	3608	6495	0	0	0	36000	0	0
J173352+540030_v1	Aug_22_2007	KODIAQ	3.42	3990	8543	0	0	0	48000	1	0
J173352+540030_v2	May_2_3_2005	KODIAQ	3.42	3735	6645	0	0	0	36000	1	0
J193957-100241_v1	Jul_1_2005	KODIAQ	3.79	3569	6618	0	0	0	48000	0	0
J193957-100241_v2	August_10_11_12_2005	KODIAQ	3.79	3843	6759	0	0	0	36000	0	0			
