name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J000149-015939      	 -.-.-     	 UVES      	   2.815	    3939	    4576	   2.240	   2.764	    12	 49800	     0	 -                                                                                                   
J000344-232355      	 -.-.-     	 UVES      	   2.280	    3387	    3934	   1.786	   2.236	    36	 60100	     0	 -                                                                                                   
J000443-555044      	 -.-.-     	 UVES      	   2.100	    3201	    3718	   1.633	   2.059	    22	 59800	     0	 -                                                                                                   
J000448-415728      	 -.-.-     	 UVES      	   2.760	    3882	    4510	   2.194	   2.710	   115	 55800	     0	 +                                                                                                   
J000651-620803      	 -.-.-     	 UVES      	   4.455	    5633	    6543	   3.633	   4.382	    28	 47800	     0	 -                                                                                                   
J000815-095854      	 -.-.-     	 UVES      	   1.955	    3051	    3544	   1.510	   1.916	    11	 49800	     0	 -                                                                                                   
J000852-290043      	 -.-.-     	 UVES      	   2.645	    3764	    4372	   2.096	   2.596	   47	 41500	     1	 +                                                                                                   
J000857-290126      	 -.-.-     	 UVES      	   2.607	    3724	    4326	   2.064	   2.559	    16	 41500	     0	 -                                                                                                   
J001130+005550      	 -.-.-     	 UVES      	   2.290	    3397	    3946	   1.794	   2.246	     0	     0	     0	 -                                                                                                   
J001210-012207      	 -.-.-     	 UVES      	   1.999	    3097	    3597	   1.547	   1.959	    10	 49800	     0	 -                                                                                                   
J001306+000431      	 -.-.-     	 UVES      	   2.164	    3267	    3795	   1.687	   2.122	     9	 49800	     0	 -                                                                                                   
J001602-001225      	 -.-.-     	 UVES      	   2.085	    3185	    3700	   1.620	   2.044	    30	 49800	     0	 -                                                                                                   
J001643-575056      	 -.-.-     	 UVES      	   1.778	    2868	    3332	   1.360	   1.741	     9	 49800	     0	 -                                                                                                   
J002110-242248      	 -.-.-     	 UVES      	   2.256	    3362	    3905	   1.766	   2.213	     5	 49800	     0	 -                                                                                                   
J002133+004300      	 -.-.-     	 UVES      	   1.245	    2318	    2693	   0.907	   1.215	     7	 49800	     0	 -                                                                                                   
J002151-012834      	 -.-.-     	 UVES      	   1.589	    2673	    3105	   1.199	   1.554	     0	     0	     0	 -                                                                                                   
J003023-181956      	 -.-.-     	 UVES      	   2.550	    3666	    4258	   2.015	   2.503	    22	 55800	     0	 -                                                                                                   
J004054-091526      	 -.-.-     	 UVES      	   4.976	    6171	    7168	   4.076	   4.896	    29	 41100	     0	 -                                                                                                   
J004057-014631      	 -.-.-     	 UVES      	   1.178	    2249	    2612	   0.850	   1.149	     5	 49800	     0	 -                                                                                                   
J004131-493611      	 -.-.-     	 UVES      	   3.240	    4378	    5086	   2.601	   3.183	    51	 59800	     0	 -                                                                                                   
J004201-403039      	 -.-.-     	 UVES      	   2.370	    3480	    4042	   1.862	   2.325	     6	 49800	     0	 -                                                                                                   
J004216-333754      	 -.-.-     	 UVES      	   2.480	    3593	    4174	   1.956	   2.434	     6	 59800	     0	 -                                                                                                   
J004342-262209      	 -.-.-     	 UVES      	   3.053	    4185	    4861	   2.443	   2.999	    14	 45500	     0	 -                                                                                                   
J004351-265128      	 -.-.-     	 UVES      	   2.786	    3909	    4541	   2.216	   2.736	    15	 45500	     0	 -                                                                                                   
