name	date	sample	z_qso	lambda_min	lambda_max	z_min	z_max	SNR	resolution	DLA	comment
J020950-000506_v1 	Sep_8_9_2004 	KODIAQ 	2.830 	3151.0 	5994.0 	2.2310 	2.7940 	 82 	48000 	0 	used
J020950-000506_v2 	Sep_24_25_2008 	KODIAQ 	2.830 	3022.0 	5897.0 	2.2310 	2.7940 	  0 	48000 	0 	0
J020950-000506_v3 	Oct_3_4_5_2004 	KODIAQ 	2.830 	4650.0 	9219.0 	2.2310 	2.7940 	  0 	48000 	0 	0
J155152+191104_v1 	May_25_2009 	KODIAQ 	2.840 	2995.0 	5880.0 	2.2390 	2.8040 	 96 	36000 	0 	used
J155152+191104_v2 	April_7_8_9_2007 	KODIAQ 	2.840 	3102.0 	5982.0 	2.2390 	2.8040 	  0 	48000 	0 	0
J162548+264658_v1 	May_31_Jun_1_2005 	KODIAQ 	2.520 	3101.0 	5983.0 	1.9690 	2.4840 	 43 	36000 	0 	used
J162548+264658_v2 	Sep_24_25_2008 	KODIAQ 	2.520 	3022.0 	5896.0 	1.9690 	2.4840 	  0 	48000 	0 	0
J170100+641209_v1 	May_31_Jun_1_2005 	KODIAQ 	2.730 	3102.0 	5985.0 	2.1470 	2.6940 	 70 	36000 	0 	used
J170100+641209_v2 	July_2_3_2005 	KODIAQ 	2.730 	3571.0 	8125.0 	2.1470 	2.6940 	  0 	72000 	0 	0
J170100+641209_v2(2) 	July_2_3_2005 	KODIAQ 	2.730 	3741.0 	6786.0 	2.1470 	2.6940 	  0 	72000 	0 	0
J170100+641209_v3 	April_30_May_1_2005 	KODIAQ 	2.730 	3129.0 	5981.0 	2.1470 	2.6940 	  0 	48000 	0 	0
J170100+641209_v4 	Sep_24_25_2008 	KODIAQ 	2.730 	3060.0 	5896.0 	2.1470 	2.6940 	  0 	36000 	0 	0
J1442+2931 	0 	HIRES 	2.660 	0.0 	0.0 	2.0880 	2.6240 	117 	    0 	1 	reduced by hand, need to check spectrum and cont
J010311+131617_v1 	Oct_9_10_2005 	KODIAQ 	2.720 	3123.0 	5978.0 	2.1390 	2.6840 	107 	36000 	1 	used
J082107+310751_v1 	April_7_8_9_2007 	KODIAQ 	2.630 	3101.0 	5981.0 	2.0630 	2.5940 	 44 	48000 	1 	used
J082107+310751_v2 	Sep_24_25_2008 	KODIAQ 	2.630 	3058.0 	5897.0 	2.0630 	2.5940 	  0 	48000 	1 	0
J014516-094517A_v1 	Oct_9_10_2005 	KODIAQ 	2.720 	3102.0 	5978.0 	2.1390 	2.6840 	 83 	36000 	1 	used, lensed qso
J014516-094517B_v1 	Oct_9_10_2005 	KODIAQ 	2.720 	3102.0 	5979.0 	2.1390 	2.6840 	  0 	48000 	0 	lensed qso
J014516-094517A_v2 	Sep_24_25_2008 	KODIAQ 	2.720 	3022.0 	5897.0 	2.1390 	2.6840 	  0 	48000 	1 	lensed qso
J014516-094517B_v2 	Sep_24_25_2008 	KODIAQ 	2.720 	3022.0 	5897.0 	2.1390 	2.6840 	  0 	48000 	0 	lensed qso
J101155+294141_v1 	May_31_Jun_1_2005 	KODIAQ 	2.650 	3101.0 	5983.0 	2.0790 	2.6140 	 63 	36000 	1 	used
J101155+294141_v2 	April_30_May_1_2005 	KODIAQ 	2.650 	3101.0 	5980.0 	2.0790 	2.6140 	  0 	48000 	1 	0
J101155+294141_v3 	Dec_6_7_2005 	KODIAQ 	2.650 	3048.0 	5896.0 	2.0790 	2.6140 	  0 	36000 	1 	low norm level, too many bad pixels
J220852-194400_v1 	Sep_24_25_2008 	KODIAQ 	2.570 	3022.0 	5896.0 	2.0120 	2.5340 	 76 	36000 	1 	used, lost b-N sample
J082619+314848_v1 	Dec_27_2006 	KODIAQ 	3.090 	3842.0 	8362.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J122824+312837_v1 	April_7_8_9_2007 	KODIAQ 	2.200 	3101.0 	5980.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J110610+640009_v1 	April_7_8_9_2007 	KODIAQ 	2.200 	3128.0 	5981.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J162645+642655_v1 	April_30_May_1_2005 	KODIAQ 	2.320 	3127.0 	5981.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J162645+642655_v2 	April_7_8_9_2007 	KODIAQ 	2.320 	3127.0 	5980.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J141906+592312_v1 	April_10_11_2007 	KODIAQ 	2.320 	3108.0 	5966.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J005814+011530_v1 	Dec_10_12_13_14_2009 	KODIAQ 	2.490 	3368.0 	6198.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J005814+011530_v2 	Oct_6_2004 	KODIAQ 	2.490 	3386.0 	6250.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J121117+042222_v1 	May_2_3_2005 	KODIAQ 	2.530 	3403.0 	6302.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J101723-204658_v1 	April_7_8_9_2007 	KODIAQ 	2.540 	3128.0 	5981.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J234628+124859_v1 	Jul_8_2008 	KODIAQ 	2.570 	4476.0 	7587.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J234628+124859_v2 	Oct_9_10_2005 	KODIAQ 	2.570 	3120.0 	5978.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J234628+124859_v3 	Sep_24_25_2008 	KODIAQ 	2.570 	3022.0 	5896.0 	0.0000 	0.0000 	  0 	36000 	0 	0
J121930+494052_v1 	May_7_2007 	KODIAQ 	2.630 	3127.0 	5980.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J121930+494052_v2 	May_25_2009 	KODIAQ 	2.630 	3027.0 	5880.0 	0.0000 	0.0000 	  0 	36000 	0 	0
J143500+535953_v1 	May_2_3_2005 	KODIAQ 	2.630 	3472.0 	6379.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J081240+320808_v1 	April_10_11_2007 	KODIAQ 	2.710 	3331.0 	6190.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J012156+144823_v1 	Sep_8_9_2004 	KODIAQ 	2.870 	3244.0 	6138.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J143316+313126_v1 	Apr_6_2006 	KODIAQ 	2.940 	3245.0 	6095.0 	0.0000 	0.0000 	  0 	36000 	0 	0
J134544+262506_v1 	Apr_14_2005 	KODIAQ 	2.030 	3501.0 	6386.0 	0.0000 	0.0000 	  0 	36000 	1 	0
J120917+113830_v1 	Apr_6_2006 	KODIAQ 	3.100 	3500.0 	6400.0 	0.0000 	0.0000 	  0 	36000 	1 	0
J102009+104002_v1 	Apr_6_2006 	KODIAQ 	3.170 	3616.0 	6524.0 	0.0000 	0.0000 	  0 	36000 	0 	0
J095852+120245_v1 	Apr_7_2006 	KODIAQ 	3.300 	5444.0 	8564.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J095852+120245_v2 	Jan_3_4_2006 	KODIAQ 	3.300 	3608.0 	6495.0 	0.0000 	0.0000 	  0 	36000 	0 	0
J173352+540030_v1 	Aug_22_2007 	KODIAQ 	3.420 	3990.0 	8543.0 	0.0000 	0.0000 	  0 	48000 	1 	0
J173352+540030_v2 	May_2_3_2005 	KODIAQ 	3.420 	3735.0 	6645.0 	0.0000 	0.0000 	  0 	36000 	1 	0
J193957-100241_v1 	Jul_1_2005 	KODIAQ 	3.790 	3569.0 	6618.0 	0.0000 	0.0000 	  0 	48000 	0 	0
J193957-100241_v2 	August_10_11_12_2005 	KODIAQ 	3.790 	3843.0 	6759.0 	0.0000 	0.0000 	  0 	36000 	0 	0
